VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2022012	1000006317	261734	70856788	Státní fond podpory investic	Ú	Opravy a modernizace bytového domuč.p.80	CZK	1,75	20150611	20350515	zástavní právo k nemovitosti	2420000	2420000	806903.4	0	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná	2022	00261734-70856788-20150611-20350515-2420000	fa015912-43023578	00261734-70856788-20150611-20350515-2420000-fa015912-43023578-2022	DEDUP_POPULATED
80	100	2022012	1000006479	261238	US	EDISON DEVELOPMENT COMPANY	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250918	bez ručení	4523200	4523200	0	0	HTTP Error 400					2022	00261238-000000US-19950918-20250918-4523200	72a93304-ad1f4b17	00261238-000000US-19950918-20250918-4523200-72a93304-ad1f4b17-2022	DEDUP_POPULATED
80	100	2022012	1000006479	261238	US	NIPSCO DEVELOPMENT COMPANY, Inc.	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250918	bez ručení	4523200	4523200	0	0	HTTP Error 400					2022	00261238-000000US-19950918-20250918-4523200	df62774b-ad1f4b17	00261238-000000US-19950918-20250918-4523200-df62774b-ad1f4b17-2022	DEDUP_POPULATED
80	100	2022012	1000006479	261238	US	WISCONSIN ELECTRIC POWER COMPANY	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250918	bez ručení	4523200	4523200	0	0	HTTP Error 400					2022	00261238-000000US-19950918-20250918-4523200	052b7f2a-ad1f4b17	00261238-000000US-19950918-20250918-4523200-052b7f2a-ad1f4b17-2022	DEDUP_POPULATED
80	100	2022012	1000008001	579874	45317054	Komerční banka, a.s.	Ú	kanalizace a ČOV	CZK	1MPRIBOR + 0,49% p.a. z jistina úvěru	20210610	20280531	0	5000000	0	0	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00579874-45317054-20210610-20280531-5000000	0baff4e5-4aaad9fa	00579874-45317054-20210610-20280531-5000000-0baff4e5-4aaad9fa-2022	DEDUP_POPULATED
80	100	2022012	1000008001	579874	45317054	Komerční banka, a.s.	Ú	kanalizace a ČOV	CZK	2,39	20210610	20280531	0	5000000	5000000	0	89625	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00579874-45317054-20210610-20280531-5000000	0baff4e5-4aaad9fa	00579874-45317054-20210610-20280531-5000000-0baff4e5-4aaad9fa-2022	DEDUP_POPULATED
80	100	2022012	1000011445	281883	45317054	Komerční banka, a.s.	Ú	koupě nemovitosti	CZK	2,25	20210920	20340630	bez ručení	7750000	7750000	5894240	295588.28	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	00281883-45317054-20210920-20340630-7750000-0baff4e5-bbf2afa3-2022	DEDUP_POPULATED
80	100	2022012	1000011445	281883	45317054	Komerční banka, a.s.	Ú	koupě nemovitosti	CZK	2,69	20210920	20340630	bez ručení	7750000	7750000	894240	177435.9	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2022	00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	00281883-45317054-20210920-20340630-7750000-0baff4e5-bbf2afa3-2022	DEDUP_POPULATED
80	100	2022012	1000014238	292788	111	Aleš a Markéta Auerovi	Z	rozvoj obce	CZK	0	20050628	20250420	řádné	290000	290000	253750	0	Not Found					2022	00292788-00000111-20050628-20250420-290000	8db6c645-996b1f35	00292788-00000111-20050628-20250420-290000-8db6c645-996b1f35-2022	DEDUP_POPULATED
80	100	2022012	1000014238	292788	111	David a Pavla Knotkovi	Z	rozvoj obce	CZK	0	20050628	20250420	žádné	290000	290000	253750	0	Not Found					2022	00292788-00000111-20050628-20250420-290000	e3fd1550-996b1f35	00292788-00000111-20050628-20250420-290000-e3fd1550-996b1f35-2022	DEDUP_POPULATED
