VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2024012	1000006312	261181	45317054	Komerční banka, a.s.	Ú	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	CZK	5,38	20191216	20371231	1	10000000	10000000	1333333.36	511511.66	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	00261181-45317054-20191216-20371231-10000000-0baff4e5-ecb1ae1b-2024	DEDUP_POPULATED
80	100	2024012	1000006317	261734	70856788	Státní fond podpory investic	Ú	Opravy a modernizace bytového domu č.p. 82	CZK	1,75	20150611	20350515	3	2420000	2420000	1044151.09	25822.58	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná	2024	00261734-70856788-20150611-20350515-2420000	fa015912-5941bcc4	00261734-70856788-20150611-20350515-2420000-fa015912-5941bcc4-2024	DEDUP_POPULATED
80	100	2024012	1000006317	261734	70856788	Státní fond podpory investic	Ú	Opravy a modernizace bytového domuč.p.80	CZK	1,75	20150611	20350515	3	2420000	2420000	1032805.76	25642.82	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná	2024	00261734-70856788-20150611-20350515-2420000	fa015912-43023578	00261734-70856788-20150611-20350515-2420000-fa015912-43023578-2024	DEDUP_POPULATED
80	100	2024012	1000006479	261238	US	EDISON DEVELOPMENT COMPANY	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250101	1	4847400	4847400	0	0	HTTP Error 400					2024	00261238-000000US-19950918-20250101-4847400	72a93304-ad1f4b17	00261238-000000US-19950918-20250101-4847400-72a93304-ad1f4b17-2024	DEDUP_POPULATED
80	100	2024012	1000006479	261238	US	NIPSCO DEVELOPMENT COMPANY, Inc.	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250101	1	4847400	4847400	0	0	HTTP Error 400					2024	00261238-000000US-19950918-20250101-4847400	df62774b-ad1f4b17	00261238-000000US-19950918-20250101-4847400-df62774b-ad1f4b17-2024	DEDUP_POPULATED
80	100	2024012	1000006479	261238	US	WISCONSIN ELECTRIC POWER COMPANY	Z	Teplárna Děčín - Bynov	CZK	0	19950918	20250101	1	4847400	4847400	0	0	HTTP Error 400					2024	00261238-000000US-19950918-20250101-4847400	052b7f2a-ad1f4b17	00261238-000000US-19950918-20250101-4847400-052b7f2a-ad1f4b17-2024	DEDUP_POPULATED
80	100	2024012	1000014238	292788	111	Aleš a Markéta Auerovi	Z	rozvoj obce	CZK	0	20050628	20250420	1	290000	290000	282750	0	Not Found					2024	00292788-00000111-20050628-20250420-290000	8db6c645-996b1f35	00292788-00000111-20050628-20250420-290000-8db6c645-996b1f35-2024	DEDUP_POPULATED
80	100	2024012	1000014238	292788	111	David a Pavla Knotkovi	Z	rozvoj obce	CZK	0	20050628	20250420	1	290000	290000	282750	0	Not Found					2024	00292788-00000111-20050628-20250420-290000	e3fd1550-996b1f35	00292788-00000111-20050628-20250420-290000-e3fd1550-996b1f35-2024	DEDUP_POPULATED
80	100	2024012	1000014238	292788	111	Ladislav a Jana Lašákovi	Z	rozvoj obce	CZK	0	20050628	20250420	1	290000	290000	282750	0	Not Found					2024	00292788-00000111-20050628-20250420-290000	fdc7eb52-996b1f35	00292788-00000111-20050628-20250420-290000-fdc7eb52-996b1f35-2024	DEDUP_POPULATED
80	100	2024012	1000014238	292788	111	Pavel Sedlák	Z	rozvoj obce	CZK	0	20050628	20250420	1	290000	290000	282750	0	Not Found					2024	00292788-00000111-20050628-20250420-290000	9fd18fe8-996b1f35	00292788-00000111-20050628-20250420-290000-9fd18fe8-996b1f35-2024	DEDUP_POPULATED
