VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2023012	1000011445	00281883	45317054	Komerční banka, a.s.	Ú	koupě nemovitosti	CZK	2,69	20210920	20340630	01	7750000.00 	7750000.00 	1490400.00 	351863.19 	2023	00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	00281883-45317054-20210920-20340630-7750000-0baff4e5-bbf2afa3-2023	DEDUP_POPULATED
080	000100	2023012	1000014238	00292788	00000111	Aleš a Markéta Auerovi	Z	rozvoj obce	CZK	0	20050628	20250420	01	290000.00 	290000.00 	268250.00 	0.00 	2023	00292788-00000111-20050628-20250420-290000	8db6c645-996b1f35	00292788-00000111-20050628-20250420-290000-8db6c645-996b1f35-2023	DEDUP_POPULATED
080	000100	2023012	1000014238	00292788	00000111	David a Pavla Knotkovi	Z	rozvoj obce	CZK	0	20050628	20250420	01	290000.00 	290000.00 	268250.00 	0.00 	2023	00292788-00000111-20050628-20250420-290000	e3fd1550-996b1f35	00292788-00000111-20050628-20250420-290000-e3fd1550-996b1f35-2023	DEDUP_POPULATED
080	000100	2023012	1000014238	00292788	00000111	Ladislav a Jana Lašákovi	Z	rozvoj obce	CZK	0	20050628	20250420	01	290000.00 	290000.00 	268250.00 	0.00 	2023	00292788-00000111-20050628-20250420-290000	fdc7eb52-996b1f35	00292788-00000111-20050628-20250420-290000-fdc7eb52-996b1f35-2023	DEDUP_POPULATED
080	000100	2023012	1000014238	00292788	00000111	Pavel Sedlák	Z	rozvoj obce	CZK	0	20050628	20250420	01	290000.00 	290000.00 	268250.00 	0.00 	2023	00292788-00000111-20050628-20250420-290000	9fd18fe8-996b1f35	00292788-00000111-20050628-20250420-290000-9fd18fe8-996b1f35-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 859-860/5 (ORG 2614/2750), (6M PRIBOR+0,26% p.a.)	CZK	7,35	20150929	20300630	01	1069860.00 	1069860.00 	596820.00 	130783.72 	2023	00296317-45317054-20150929-20300630-1069860	0baff4e5-f3e2d92b	00296317-45317054-20150929-20300630-1069860-0baff4e5-f3e2d92b-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení 1. máje 886/1,887/3 (ORG 2615/2751), (6M PRIBOR+0,26% p.a.)	CZK	7,35	20150929	20300630	01	1109740.00 	1109740.00 	618380.00 	135654.03 	2023	00296317-45317054-20150929-20300630-1109740	0baff4e5-4280fb05	00296317-45317054-20150929-20300630-1109740-0baff4e5-4280fb05-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Divadelní 357/4,356/6,358/8 (ORG 2619/2753), (6M PRIBOR+0,26% p.a.)	CZK	7,35	20150929	20300630	01	1069860.00 	1069860.00 	596820.00 	134146.04 	2023	00296317-45317054-20150929-20300630-1069860	0baff4e5-92295b18	00296317-45317054-20150929-20300630-1069860-0baff4e5-92295b18-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754), (6M PRIBOR+0,26% p	CZK	7,35	20150929	20300630	01	1109740.00 	1109740.00 	618380.00 	135654.03 	2023	00296317-45317054-20150929-20300630-1109740	0baff4e5-7989aa45	00296317-45317054-20150929-20300630-1109740-0baff4e5-7989aa45-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757), (6M PRIBOR+0,26% p.a.)	CZK	7,35	20150929	20300630	01	1268340.00 	1268340.00 	706580.00 	155066.97 	2023	00296317-45317054-20150929-20300630-1268340	0baff4e5-c152a8f0	00296317-45317054-20150929-20300630-1268340-0baff4e5-c152a8f0-2023	DEDUP_POPULATED
080	000100	2023012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758), (6M PRIBOR+0,26% p.a.)	CZK	7,35	20150929	20300630	01	1268340.00 	1268340.00 	706580.00 	154965.79 	2023	00296317-45317054-20150929-20300630-1268340	0baff4e5-87a4cf7c	00296317-45317054-20150929-20300630-1268340-0baff4e5-87a4cf7c-2023	DEDUP_POPULATED
080	000100	2023012	1000015191	00297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - hala	CZK	2,67	20201209	20241208	01	408900.04 	408900.04 	298471.12 	42354.24 	2023	00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0	00297054-25722328-20201209-20241208-408900-f06831d0-a515f1b0-2023	DEDUP_POPULATED
080	000100	2023012	1000015191	00297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - kanalizace	CZK	2,67	20201209	20241208	01	408900.04 	408900.04 	298471.12 	42354.23 	2023	00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32	00297054-25722328-20201209-20241208-408900-f06831d0-a10b9b32-2023	DEDUP_POPULATED
080	000100	2023012	1000016077	00298654	45244782	Česká spořitelna, a.s.	Ú	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa	CZK	6M PRIBOR + přirážka 0,45 % p.a.	20120426	20331231	01	9000000.00 	9000000.00 	4500000.00 	372400.01 	2023	00298654-45244782-20120426-20331231-9000000	1e97a56a-8eb55e42	00298654-45244782-20120426-20331231-9000000-1e97a56a-8eb55e42-2023	DEDUP_POPULATED
