VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2021012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení J. Sedláka 824/20,825/22,826/24 (ORG 2620/2754)	CZK	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1109740.00 	1109740.00 	466940.00 	63952.80 	2021	00296317-45317054-20150929-20300630-1109740	0baff4e5-cb1dd39f	00296317-45317054-20150929-20300630-1109740-0baff4e5-cb1dd39f-2021	DEDUP_POPULATED
080	000100	2021012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 835/38,836/40 (ORG 2625/2757)	CZK	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1268340.00 	1268340.00 	533540.00 	73098.39 	2021	00296317-45317054-20150929-20300630-1268340	0baff4e5-5a2f6e8f	00296317-45317054-20150929-20300630-1268340-0baff4e5-5a2f6e8f-2021	DEDUP_POPULATED
080	000100	2021012	1000015066	00296317	45317054	Komerční banka, a.s.	Ú	refinancování úvěru na zateplení Sokolovská 837/42,838/44 (ORG 2626/2758)	CZK	20150929	20300630	bez ručení (6M PRIBOR+0,26% p.a.)	1268340.00 	1268340.00 	533540.00 	72997.21 	2021	00296317-45317054-20150929-20300630-1268340	0baff4e5-4a7f4b78	00296317-45317054-20150929-20300630-1268340-0baff4e5-4a7f4b78-2021	DEDUP_POPULATED
080	000100	2021012	1000015191	00297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - hala	CZK	20201209	20241208	0	408900.04 	408900.04 	94303.79 	19304.69 	2021	00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0	00297054-25722328-20201209-20241208-408900-f06831d0-a515f1b0-2021	DEDUP_POPULATED
080	000100	2021012	1000015191	00297054	25722328	RCI Financial Services, s.r.o.	Ú	vozidlo Dacia Duster - kanalizace	CZK	20201209	20241208	0	408900.04 	408900.04 	94303.79 	19304.69 	2021	00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32	00297054-25722328-20201209-20241208-408900-f06831d0-a10b9b32-2021	DEDUP_POPULATED
080	000100	2021012	1000016077	00298654	25083325	Sberbank CZ, a.s.	Ú	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa	CZK	20120426	20331231	bez ručení	9000000.00 	9000000.00 	3600000.00 	0.00 	2021	00298654-25083325-20120426-20331231-9000000	e85c2106-8eb55e42	00298654-25083325-20120426-20331231-9000000-e85c2106-8eb55e42-2021	DEDUP_POPULATED
080	000100	2021012	1000016077	00298654	25083325	Sberbank CZ, a.s.	Ú	investiční úvěr-VODOVOD Bělkovice-Lašťany	CZK	20120426	20331231	bez ručení	9000000.00 	9000000.00 	3600000.00 	0.00 	2021	00298654-25083325-20120426-20331231-9000000	e85c2106-82816bbe	00298654-25083325-20120426-20331231-9000000-e85c2106-82816bbe-2021	DEDUP_POPULATED
080	000100	2021012	1000005852	00259586	00000111	Bez úvěru	Ú	Bez úvěru	CZK	20221231	20221231	Není	0.00 	0.00 	0.00 	0.00 	2021	00259586-00000111-20221231-20221231-0		00259586-00000111-20221231-20221231-0-2021	ZERO_LOAN
080	000100	2021012	1000015128	00297062	00000000		NFV	0	CZK	20211231	20211231	bez zajištění	0.00 	0.00 	0.00 	0.00 	2021	00297062-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297062-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015128	00297062	00000000		Z	0	CZK	20211231	20211231	bez zajištění	0.00 	0.00 	0.00 	0.00 	2021	00297062-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297062-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015152	00297046	00000000		NFV	0	CZK	20211231	20211231	Žádný	0.00 	0.00 	0.00 	0.00 	2021	00297046-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297046-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015152	00297046	00000000		Z	0	CZK	20211231	20211231	Žádný	0.00 	0.00 	0.00 	0.00 	2021	00297046-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297046-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015345	69609926	00000000		NFV	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	69609926-00000000-20211231-20211231-0	a3d2de76-cfcd2084	69609926-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015345	69609926	00000000		Z	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	69609926-00000000-20211231-20211231-0	a3d2de76-cfcd2084	69609926-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015345	69609926	00000000		Ú	0	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	69609926-00000000-20211231-20211231-0	a3d2de76-cfcd2084	69609926-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015418	00297445	00000000		NFV	0	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00297445-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297445-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015418	00297445	00000000		Z	0	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00297445-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297445-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015418	00297445	00000000		Ú	0	CZK	20211231	20211231	0	0.00 	0.00 	0.00 	0.00 	2021	00297445-00000000-20211231-20211231-0	a3d2de76-cfcd2084	00297445-00000000-20211231-20211231-0-a3d2de76-cfcd2084-2021	ZERO_LOAN
080	000100	2021012	1000015420	00297585	00000000		NFV	0000	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00297585-00000000-20211231-20211231-0	a3d2de76-4a7d1ed4	00297585-00000000-20211231-20211231-0-a3d2de76-4a7d1ed4-2021	ZERO_LOAN
080	000100	2021012	1000015420	00297585	00000000		Z	0000	CZK	20211231	20211231	bez ručení	0.00 	0.00 	0.00 	0.00 	2021	00297585-00000000-20211231-20211231-0	a3d2de76-4a7d1ed4	00297585-00000000-20211231-20211231-0-a3d2de76-4a7d1ed4-2021	ZERO_LOAN
