ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00249653-45244782-20120327-20270228-3478000		2022 + 2023 + 2024	3478000	3478000.00 	3478000.00 	3478000.00 	2	2	2	FIXED	FIXED_NOSTRING	Výstavba ČOV, přivaděče a dostavba kanalizace v Obci Heřmaň	Výstavba ČOV, přivaděče a dostavba kanalizace v Obci Heřmaň	Výstavba ČOV, přivaděče a dostavba kanalizace v Obci Heřmaň
00249688-45317054-20031215-20230920-5000000		2022 + 2023	5000000	5000000.00 	5000000.00 		3,25	3,25		FIXED	FIXED_NOSTRING	Dostavba 6 bytových jednotek	Dostavba 6 bytových jednotek	
00249688-45317054-20170803-20270630-2000000		2022 + 2023 + 2024	2000000	2000000.00 	2000000.00 	2000000.00 	2,94	2,94	0	VARIABLE	FIXED_NOSTRING	Koupě nemovitosti v dražbě	Koupě nemovitosti v dražbě	Koupě nemovitosti v dražbě
00249769-00020729-20120723-20220723-1449175		2022	1449175	1449175.66 			0			FIXED	FIXED_NOSTRING	rekonstrukce kanalizace a vybudování ČOV		
00249769-49241494-20231009-20260920-640000		2023 + 2024	640000		640000.00 	640000.00 		7,43	0	VARIABLE	FIXED_NOSTRING		vyvážecí přívěs Trejon, nakládací rameno	vyvážecí přívěs Trejon, nakládací rameno
00249777-45244782-20120912-20340228-8000000		2022	8000000	8000000.00 			3 p.a.			FIXED	FIXED_NOSTRING	Projekt Bytový dům Kovářov 202		
00249785-45244782-20160519-20230430-2000000		2022 + 2023	2000000	2000000.00 	2000000.00 		0,67	0,67		FIXED	FIXED_NOSTRING	Vodovod	Vodovod	
00249785-45244782-20210930-20320630-4000000		2022 + 2023 + 2024	4000000	4000000.00 	4000000.00 	4000000.00 	1,95	1,95	0	VARIABLE	FIXED_NOSTRING	Komunikace	Komunikace	Komunikace
00249807-45244782-20130716-20241231-5000000		2022 + 2023 + 2024	5000000	5000000.00 	5000000.00 	5000000.00 	2,05	2,05	2,05	FIXED	FIXED_NOSTRING	Výstavba 8 bytových jednotek,Kučeř 70	Výstavba 8 bytových jednotek Kučeř 70	Výstavba bytových jednotek Kučeř 70
00249807-45244782-20170904-20240831-1200000		2022 + 2023 + 2024	1200000	800000.00 	800000.00 	800000.00 	1,16	1,16	1,16	FIXED	FIXED_NOSTRING	Oprava hasčské nádrže	Oprava hasič.nádrže	Oprava hasičské nádrže
00249807-45244782-20200211-20310228-5000000		2022 + 2023 + 2024	5000000	4999999.64 	4999999.64 	4999999.64 	2,10	2,10	2,10	FIXED	FIXED_NOSTRING	Sociální byty Kučeř 82	Sociální byty Kučeř 82	Sociální byty Kučeř 82
00249831-00001350-20180329-20241231-20966331		2022 + 2023 + 2024	20966331	20966331.97 	20966331.97 	20966331.97 	1,51	1,51	1,51	FIXED	FIXED_NOSTRING	Sítě a komunikace Švermova-3.etapa	Sítě a komunikace Švermova-3.etapa	Sítě a komunikace Švermova-3.etapa
00249831-00001350-20200429-20261231-18000000		2022 + 2023 + 2024	18000000	13365456.78 	13365456.78 	13365456.78 	1,68	1,68	1,68	FIXED	FIXED_NOSTRING	Snížení energetické náročnosti budovy sportovní haly v Milevsku, vč. vzduchotechniky a nářaďovny	Snížení energetické náročnosti budovy sportovní haly v Milevsku, vč. vzduchotechniky a nářaďovny	Snížení energetické náročnosti budovy sportovní haly v Milevsku, vč. vzduchotechniky a nářaďovny
00249831-00001350-20210104-20370630-35000000		2022 + 2023 + 2024	35000000	35000000.00 	35000000.00 	35000000.00 	1,27	1,27	1,27	FIXED	FIXED_NOSTRING	Rozšíření domova pro seniory Milevsko	Rozšíření domova pro seniory Milevsko	Rozšíření domova pro seniory Milevsko
00249840-45244782-20131025-20280920-8900000		2022 + 2023	8900000	5433175.00 	5433175.00 		8,24	8,24		FIXED	FIXED_NOSTRING	"Projekt ""Základní škola Mirotice-zateplení"""	"Projekt ""Základní škola Mirotice-zateplení"""	
00249840-45317054-20190103-20421231-30000000		2022 + 2023 + 2024	30000000	30000000.00 	30000000.00 	30000000.00 	7,57	7,12	4,26	VARIABLE	FIXED_NOSTRING	Kanalizace,ČOV a vodovod ve Městě MIrotice	Kanalizace,ČOV a vodovod ve Městě MIrotice	Kanalizace,ČOV a vodovod ve Městě MIrotice
00249939-45244782-20131021-20231031-7000000		2022 + 2023	7000000	3999714.77 	3999714.77 		2,58	2,58		FIXED	FIXED_NOSTRING	Výstavba ČOV	Výstavba ČOV	
00249939-45244782-20191218-20331231-6500000		2022 + 2023 + 2024	6500000	6500000.00 	6500000.00 	6500000.00 	1,8	1,8	1,8	FIXED	FIXED_NOSTRING	Rekonstrukce školy	Rekonstrukce školy	Rekonstrukce školy
00249939-45244782-20220608-20240731-4000000		2022 + 2023 + 2024	4000000	3000000.00 	3000000.00 	3000000.00 	7,17	7,17	7,17	FIXED	FIXED_NOSTRING	Zateplení bytových domů	Zateplení bytových domů	Zateplení bytových domů
00249998-00001350-20170630-20291231-200000000		2022 + 2023 + 2024	200000000	200000000.00 	200000000.00 	200000000.00 	1,23	1,23	1,23	FIXED	FIXED_NOSTRING	výstavba plaveckého bazénu, stavební akce: přemístění Městské knihovny, Úpravna vody	výstavba plaveckého bazénu, stavební akce: přemístění Městské knihovny, Úpravna vody	výstavba plaveckého bazénu, stavební akce: přemístění Městské knihovny, Úpravna vody
00249998-00001350-20210125-20321231-100000000		2022 + 2023 + 2024	100000000	100000000.00 	100000000.00 	100000000.00 	0,86	0,86	0,86	FIXED	FIXED_NOSTRING	stavební akce: Plavecký bazén, Seniorský dům v Sovově ul., Velké nám. čp. 1, Letní kino, výkup domů	stavební akce: Plavecký bazén, Seniorský dům v Sovově ul., Velké nám. čp. 1, Letní kino, výkup domů	stavební akce: Plavecký bazén, Seniorský dům v Sovově ul., Velké nám. čp. 1, Letní kino, výkup domů
00249998-45317054-20150529-20241215-18349641		2022	18349641	12021954.87 			0,52			FIXED	FIXED_NOSTRING	rekontrukce domu v Písku, Jiráskovo nábřeží 2443 - sociální bydlení		
00249998-45317054-20150529-20241215-20359890		2022	20359890	14545466.51 			0,52			FIXED	FIXED_NOSTRING	rekonstrukce domu v Písku, nábřeží 1. máje 1467 a 1468 - sociální bydlení		
00250007-45317054-20210917-20220617-1635000		2022	1635000	1632410.00 			1M PRIBOR +0,22% p.a.			FIXED	VARIABLE_STRING	Rekonstrukce terasy Kulturního domu v Podolí I		
00250007-65006658-20230306-20261231-1610991		2023 + 2024	1610991		1610991.00 	1610991.00 		fixní 4 letý SWAP ve výši 5,150% p.a.	0	VARIABLE	VARIABLE_STRING		Úhrada pořizovací ceny - traktor Zetor Proxima, příkopové rameno Agromec	Úhrada pořizovací ceny - traktor Zetor Proxima, příkopové rameno Agromec
00250023-45317054-20160226-20261231-18000000		2022 + 2023 + 2024	18000000	18000000.00 	18000000.00 	18000000.00 	0,80%	0,80%	0,80%	FIXED	FIXED_NOSTRING	Rekonstrukce průtah městem- obnova vodovodu,kanalizace,chodníky,VO I.etapa	Rekonstrukce průtah městem- obnova vodovodu,kanalizace,chodníky,VO I.etapa	Rekonstrukce průtah městem- obnova vodovodu,kanalizace,chodníky,VO I.etapa
00250023-45317054-20160628-20270531-11000000		2022 + 2023 + 2024	11000000	10526285.00 	10526285.00 	10526285.00 	0,75%	0,75%	0,75%	FIXED	FIXED_NOSTRING	rwkonstrukce komunikace Na Chmelničkách,Fučíkova-obnova vodovodu, kanalizace, chodníky, VO	rwkonstrukce komunikace Na Chmelničkách,Fučíkova-obnova vodovodu, kanalizace, chodníky, VO	rwkonstrukce komunikace Na Chmelničkách,Fučíkova-obnova vodovodu, kanalizace, chodníky, VO
00250023-45317054-20170330-20280630-20000000		2022 + 2023 + 2024	20000000	20000000.00 	20000000.00 	20000000.00 	1,15%	1,15%	1,15%	FIXED	FIXED_NOSTRING	Průtah městem II. etapa, investice rorzpočtu 2017, chodníky,vodovod, kanalizace, VO	Průtah městem II. etapa, investice rorzpočtu 2017, chodníky,vodovod, kanalizace, VO	Průtah městem II. etapa, investice rorzpočtu 2017, chodníky,vodovod, kanalizace, VO
00250023-45317054-20180117-20290531-30000000		2022 + 2023 + 2024	30000000	29999990.81 	29999990.81 	29999990.81 	1,76%	1,76%	1,76%	FIXED	FIXED_NOSTRING	Průtah městem III. etapa, chodníky, VO, vodovod, kanalizace, parkovací plochy	Průtah městem III. etapa, chodníky, VO, vodovod, kanalizace, parkovací plochy	Průtah městem III. etapa, chodníky, VO, vodovod, kanalizace, parkovací plochy
00250023-45317054-20181001-20230731-14000000		2022 + 2023	14000000	14000000.00 	14000000.00 		2,05%	2,05%		FIXED	FIXED_NOSTRING	Zodolnění požární zbrojnice	Zodolnění požární zbrojnice	
00250023-45317054-20190930-20280131-13900000		2022 + 2023 + 2024	13900000	13382652.17 	13382652.17 	13382652.17 	1,36%	1,36%	1,36%	FIXED	FIXED_NOSTRING	Rekonstrukce sportovní haly	Rekonstrukce sportovní haly	Rekonstrukce sportovní haly
00250023-45317054-20200610-20300430-15000000		2022 + 2023 + 2024	15000000	15000000.00 	15000000.00 	15000000.00 	0,85%	0,85%	0,85%	FIXED	FIXED_NOSTRING	Rekonstrukce základní školy, komenikace Chalupecká, rekonstrukce kinosálu	Rekonstrukce základní školy, komenikace Chalupecká, rekonstrukce kinosálu	Rekonstrukce základní školy, komenikace Chalupecká, rekonstrukce kinosálu
00250023-45317054-20210629-20261130-12121000		2022	12121000	12121000.00 			PRIBOR+0,20%			FIXED	VARIABLE_STRING	Rekonstrukce ZŠ-2.etapa		
00250023-45317054-20210629-20270831-12375000		2022	12375000	12375000.00 			PRIBOR+0,20%			FIXED	VARIABLE_STRING	Komunikace Oborská, chodníky, VO, obnova vodovodu, kanalizace		
00250058-45244782-20200512-20250731-3000000		2022 + 2023 + 2024	3000000	3000000.00 	3000000.00 	3000000.00 	1,44	1,44	1,44	FIXED	FIXED_NOSTRING	místní komunikace	místní komunikace	místní komunikace
00250091-45317054-20151222-20260915-16000000		2022	16000000	16000000.00 			0,49			FIXED	FIXED_NOSTRING	Stavební úpravy a přístavba kulturního domu		
00250091-45317054-20151222-20270215-16000000		2023 + 2024	16000000		16000000.00 	16000000.00 		0,49	0,49	FIXED	FIXED_NOSTRING		Stavební úpravy a přístavba kulturního domu	Stavební úpravy a přístavba kulturního domu
00250091-45317054-20170126-20260915-3221000		2022 + 2023 + 2024	3221000	2503729.74 	2503729.74 	2503729.74 	0,49	0,49	0,49	FIXED	FIXED_NOSTRING	Dofinancování akce Stavební úpravy a přístavba kulturního domu	Dofinancování akce Stavební úpravy a přístavba kulturního domu	Dofinancování akce Stavební úpravy a přístavba kulturního domu
00250091-45317054-20170505-20261015-4500000		2022 + 2023 + 2024	4500000	4500000.00 	4500000.00 	4500000.00 	1,03	1,03	1,03	FIXED	FIXED_NOSTRING	Revitalizace přízemních prostor dostavby víceúčelového zařízení na obchodní provozy	Revitalizace přízemních prostor dostavby víceúčelového zařízení na obchodní provozy	Revitalizace přízemních prostor dostavby víceúčelového zařízení na obchodní provozy
00250104-45244782-20110921-20260831-2200000		2022 + 2023 + 2024	2200000	2200000.00 	2200000.00 	2200000.00 	03	3	3	FIXED	FIXED_NOSTRING	Rekonstrukce veř.prostranství	Rekonstrukce veř.prostranství	Rekonstrukce veř.prostranství
00250112-45244782-20191209-20301231-10187145		2022 + 2023 + 2024	10187145	9520322.48 	9520322.48 	9520322.48 	2,01	2,01	2,01	FIXED	FIXED_NOSTRING	Komunitní centrum Slabčice	Komunitní centrum Slabčice	Komunitní centrum Slabčice
00250121-00001350-20141009-20250725-5536000		2022 + 2023 + 2024	5536000	5536000.00 	5536000.00 	5536000.00 	pohyblivá	pohyblivá	pohyblivá	FIXED	VARIABLE_STRING	ČOV a kanalizace	ČOV a kanalizace	ČOV a kanalizace
00250121-60751606-20200722-20250722-1305711		2022 + 2023 + 2024	1305711	1305711.00 	1305711.00 	1305711.00 	2,75	2,75	2,75	FIXED	FIXED_NOSTRING	Traktor NEW HOLLAND	Traktor NEW HOLLAND	Traktor NEW HOLLAND
00250163-49021117-20150420-20250430-368000		2022 + 2023 + 2024	368000	368000.00 	368000.00 	368000.00 	0	0	0	FIXED	FIXED_NOSTRING	Fin.stavby Myšenec-čerpací stanice	Fin.stavby Myšenec-čerpací stanice	Fin.stavby Myšenec-čerpací stanice
00250210-45244782-20210630-20311130-6661960		2022 + 2023 + 2024	6661960	6661960.00 	6661960.00 	6661960.00 	PRIBOR +15%	PRIBOR + 15%	15%	VARIABLE	VARIABLE_STRING	financování Projektu	financování Projektu	financování Projektu
00250244-00020729-20190416-20311231-10196145		2022 + 2023 + 2024	10196145	10148936.56 	10148936.56 	10148936.56 	0	0,45	0,45	VARIABLE	FIXED_NOSTRING	Výstavba kanalizace a ČOV Záhoří	Výstavba kanalizace a ČOV Záhoří	Výstavba kanalizace a ČOV Záhoří
00250341-00001350-20210701-20281229-10000000		2022	10000000	1938701.15 			1,77			FIXED	FIXED_NOSTRING	Borová Lada - dostavba kanalizace		
00250341-00001350-20210702-20281229-9101650		2023 + 2024	9101650		9101650.05 	9101650.05 		1,77	1,77	FIXED	FIXED_NOSTRING		Borová Lada - dostavba kanalizace	Borová Lada - dostavba kanalizace
00250350-45244782-20170210-20220131-485525		2022	485525	485525.00 			0,61			FIXED	FIXED_NOSTRING	nákup pozemků		
00250406-45317054-20111019-20260930-7786886		2022 + 2023 + 2024	7786886	7786886.00 	7786886.00 	7786886.00 	1,58	1,58	1,58	FIXED	FIXED_NOSTRING	Rekonstrukce a vybavení bytového domu čp. 83 v obci Dub	Rekonstrukce a vybavení bytového domu čp. 83 v obci Dub	Rekonstrukce a vybavení bytového domu čp. 83 v obci Dub
00250406-49021117-20180530-20280630-6660000		2022 + 2023 + 2024	6660000	6600000.00 	6600000.00 	6600000.00 	0	0	0	FIXED	FIXED_NOSTRING	Průtah Dub	Průtah Dub	Průtah Dub
00250422-45244782-20121008-20270920-2100000		2022 + 2023 + 2024	2100000	1907144.05 	1907144.05 	1907144.05 	3,1	3,1	3,1	FIXED	FIXED_NOSTRING	Vodovod Horní Vltavice - Zátoň	Vodovod Horní Vltavice - Zátoň	Vodovod Horní Vltavice - Zátoň
00250422-45244782-20121008-20270920-4200000		2022 + 2023 + 2024	4200000	2979238.57 	2979238.57 	2979238.57 	3,1	3,1	3,1	FIXED	FIXED_NOSTRING	Nová ČOV	Nová ČOV	Nová ČOV
00250422-45244782-20150929-20300331-1400000		2022 + 2023 + 2024	1400000	1400000.00 	1400000.00 	1400000.00 	0,9	0,9	0,9	FIXED	FIXED_NOSTRING	Zázemí fotbalového hřiště Horní Vltavice	Zázemí fotbalového hřiště Horní Vltavice	Zázemí fotbalového hřiště Horní Vltavice
00250431-45317054-20220629-20261231-1000000		2022	1000000	999699.02 			0,75			FIXED	FIXED_NOSTRING	Rekonstrukce LC Obora		
00250431-63998980-20211008-20261018-445280		2022 + 2023 + 2024	445280	445280.00 	445280.00 	445280.00 	0,0100	0,0100	0,01	FIXED	FIXED_NOSTRING	KUBOTA G 231 HD	KUBOTA G 231 HD	KUBOTA G 231 HD
00250449-45317054-20021003-20230225-9427000		2022	9427000	9427000.00 			2,21			FIXED	FIXED_NOSTRING	Dofinancování výstavby obytného komplexu 21 BJ		
00250449-45317054-20221003-20230225-9427000		2023	9427000		9427000.00 			2,21		FIXED	FIXED_NOSTRING		Dofinancování výstavby bytového komplexu 21 BJ	
00250503-45244782-20200101-20290131-3429042		2022 + 2023 + 2024	3429042	3429042.63 	3429042.63 	3429042.63 	0	0	0	FIXED	FIXED_NOSTRING	Nákup byt.dům Ktiš čp. 51 a 21	Nákup byt.dům Ktiš čp. 51 a 21	Nákup byt.dům Ktiš čp. 51 a 21
00250503-49241494-20210531-20250620-924000		2022 + 2023	924000	924000.00 	924000.00 		0	0		FIXED	FIXED_NOSTRING	Nákup lesní techniky	Nákup lesní techniky	
00250503-49241494-20210531-20260620-924000		2024	924000			924000.00 			0	FIXED	FIXED_NOSTRING			Nákup lesní techniky
00250520-45244782-20190321-20280430-8000000		2022 + 2023 + 2024	8000000	8000000.00 	8000000.00 	8000000.00 	2,07	2,07	2,07	FIXED	FIXED_NOSTRING	financování dotačních akcí	financování dotačních akcí	financování dotačních akcí
00250546-00020729-20170313-20261231-2415897		2022 + 2023 + 2024	2415897	2415897.00 	2415897.00 	2415897.00 	0	0	0	FIXED	FIXED_NOSTRING	Poskytnutí podpory	Poskytnutí podpory	Poskytnutí podpory
00250546-45317054-20160731-20260531-23500000		2022 + 2023 + 2024	23500000	23500000.00 	23500000.00 	23500000.00 	0,36% p.a.	0,36%p.a.	0,36	FIXED	FIXED_NOSTRING	Refinancování úvěru č.883/05/LCD a 1018/04/LCD	Refinancování úvěru č.883/05/LCD a 1018/04/LCD	Refinancování úvěru č.883/05/LCD a 1018/04/LCD
00250554-45317054-20150424-20261231-3100000		2022 + 2023 + 2024	3100000	3100000.00 	3100000.00 	3100000.00 	1,53	1,53	1,53	FIXED	FIXED_NOSTRING	NÁKUP NEMOVITOSTI	NÁKUP NEMOVITOSTI	NÁKUP NEMOVITOSTI
00250554-45317054-20200710-20300531-1500000		2022 + 2023 + 2024	1500000	1500000.00 	1500000.00 	1500000.00 	0,98	0,98	0,98	FIXED	FIXED_NOSTRING	REVITALIZACE NÁVSI	REVITALIZACE NÁVSI	REVITALIZACE NÁVSI
00250571-45244782-20120530-20261020-6905000		2022 + 2023 + 2024	6905000	6905000.00 	6905000.00 	6905000.00 	2,69	2,69	2,69	FIXED	FIXED_NOSTRING	Oprava kanalizace v obci Malovice a Malovičky	Oprava kanalizace v obci Malovice a Malovičky	Oprava kanalizace v obci Malovice a Malovičky
00250571-45244782-20180927-20330930-26201000		2022 + 2023 + 2024	26201000	22797553.00 	22797553.00 	22797553.00 	2,5	2,5	2,5	FIXED	FIXED_NOSTRING	ČOV a kanalizace Malovice a Malovičky	ČOV a kanalizace Malovice a Malovičky	ČOV a kanalizace Malovice a Malovičky
00250619-45244782-20240412-20440331-9000000		2024	9000000			9000000.00 			3,93	FIXED	FIXED_NOSTRING			nákup pozemků+nemov.
00250627-25672720-20190930-20250331-85000000		2024	85000000			85000000.00 			PRIBOR12M-0,32%	FIXED	VARIABLE_STRING			Rekonstrukce a rozšíření plaveckého bazénu
00250627-25672720-20190930-20250531-85000000		2022 + 2023	85000000	85000000.00 	85000000.00 		PRIBOR12M-0,32%	PRIBOR12M-0,32%		FIXED	VARIABLE_STRING	Rekonstrukce a rozšíření plaveckého bazénu	Rekonstrukce a rozšíření plaveckého bazénu	
00250627-45244782-20171120-20221120-6832753		2022	6832753	6832753.93 			0,89%			FIXED	FIXED_NOSTRING	Výstavba bytů, Zlatá stezka 134		
00250678-45244782-20191217-20311031-9500000		2022 + 2023 + 2024	9500000	9500000.00 	9500000.00 	9500000.00 	1,87	1,87	1,87	FIXED	FIXED_NOSTRING	Snížení energetické náročnosti objektu čp 232 Obec Stachy, rekonstrukce	Snížení energetické náročnosti objektu čp 232 Obec Stachy, rekonstrukce	Snížení energetické náročnosti objektu čp 232 Obec Stachy, rekonstrukce
00250678-45244782-20230620-20320630-19000000		2023 + 2024	19000000		18769142.66 	18769142.66 		5,18	5,18	FIXED	FIXED_NOSTRING		Refinancovaná smlouva	Refinancovaná smlouva
00250678-45317054-20170831-20320630-67250700		2022 + 2023	67250700	67250700.00 	67250700.00 		0,05	0,05		FIXED	FIXED_NOSTRING	Stachy, kanalizace, ČOV a vodovod	Stachy, kanalizace, ČOV a vodovod	
00250678-45317054-20190312-20291231-7074000		2022 + 2023 + 2024	7074000	7074000.00 	7074000.00 	7074000.00 	0,12	0,12	0,12	FIXED	FIXED_NOSTRING	Snížení energetické náročnosti objektu čp 232, Obec Stachy	Snížení energetické náročnosti objektu čp 232, Obec Stachy	Snížení energetické náročnosti objektu čp 232, Obec Stachy
00250708-45244782-20210416-20231231-4000000		2022	4000000	2000000.00 			ref.sazba+0,5			FIXED	VARIABLE_STRING	Koupě budovy zdravotního střediska ve Strunkovicích nad Blanicí		
00250708-45244782-20230504-20260131-7000000		2023 + 2024	7000000		6569268.14 	6569268.14 		5,8	5,8	FIXED	FIXED_NOSTRING		Revitalizace náměstí B. Havlasy Strunkovice nad Blanicí	Revitalizace náměstí B. Havlasy Strunkovice nad Blanicí
00250708-49021117-20170712-20220715-2000000		2022	2000000	2000000.00 			0			FIXED	FIXED_NOSTRING	Financování ZTV Strunkovice nad Blanicí, lokalita Hořice		
00250732-45244782-20220215-20261231-6617632		2022 + 2023 + 2024	6617632	6617632.90 	6617632.90 	6617632.90 	1,79	1,79	1,79	FIXED	FIXED_NOSTRING	Víceúčelový objekt čp.10	Víceúčelový objekt čp.10	Víceúčelový objekt čp.10
00250805-00001350-20060403-20220624-46200000		2022	46200000	46200000.00 			12M PRIBOR + 0,0222 % p. a.			FIXED	VARIABLE_STRING	vybudování tří bytových domů v ul. Pod Pekárnou		
00250805-45317054-20150108-20251231-10000000		2022 + 2023 + 2024	10000000	10000000.00 	10000000.00 	10000000.00 	3M PRIBOR + 0,55 % p. a.	3M PRIBOR + 0,55 % p. a.	3 M PRIBOR + 0,55 %	VARIABLE	VARIABLE_STRING	zateplení ZŠ Smetanova 405, Vimperk	zateplení ZŠ Smetanova 405, Vimperk	zateplení ZŠ Smetanova 405, Vimperk
00250805-64948242-20200819-20321231-150000000		2022 + 2023 + 2024	150000000	150000000.00 	150000000.00 	150000000.00 	0,99 % p. a.	0,99 % p. a.	0,99 % p. a.	FIXED	FIXED_NOSTRING	investiční projekty	investiční projekty	investiční projekty
00250813-15886492-20191230-20221208-225000		2022	225000	225000.00 			0			FIXED	FIXED_NOSTRING	vozdidlo Hyundai Kona Kona		
00250813-45244782-20240118-20350331-15000000		2024	15000000			7000000.00 			4,22	FIXED	FIXED_NOSTRING			Obecní dům Vitějovice
00250821-00001350-20060718-20260625-25000000		2022 + 2023 + 2024	25000000	25000000.00 	25000000.00 	25000000.00 	1,6	1,6	1,6	FIXED	FIXED_NOSTRING	Úvěr na rekonstrukci náměstí	Úvěr na rekonstrukci náměstí	Úvěr na rekonstrukci náměstí
00250821-00020729-20170509-20291231-4171042		2022 + 2023 + 2024	4171042	4171042.53 	4171042.53 	4171042.53 	0,45	0,45	0,45	FIXED	FIXED_NOSTRING	vodovod a vodojem	vodovod a vodojem	vodovod a vodojem
00250830-45244782-20161114-20280630-55000000		2022 + 2023 + 2024	55000000	55000000.00 	55000000.00 	55000000.00 	0,34	0,34	0,34	FIXED	FIXED_NOSTRING	Projekty (investiční akce) realizované v letech 2016 - 2018	Projekt (investiční akce) realizované v letech 2016-2018	Projekt (investiční akce) realizované v letech 2016-2018
00250848-45244782-20070329-20280131-3500000		2022 + 2023 + 2024	3500000	3500000.00 	3500000.00 	3500000.00 	0	0	0	FIXED	FIXED_NOSTRING	Stavební úpravy objektu č.p.11	Stavební úpravy objektu č.p.11	Stavební úpravy objektu č.p.11
00250848-45244782-20230510-20240630-1600000		2023 + 2024	1600000		1582877.20 	1582877.20 		0,41	0	VARIABLE	FIXED_NOSTRING		Renkonstrukce lesní cesty nad Pumpařem	Rekonstrukce lesní cesty nad Pumpařem
00250848-45317054-20160701-20281028-4000000		2022 + 2023 + 2024	4000000	4000000.00 	4000000.00 	4000000.00 	0	0	0	FIXED	FIXED_NOSTRING	ČOV a kanalizace	ČOV a kanalizace	ČOV a kanalizace
00250848-45317054-20211020-20280630-1300000		2022 + 2023 + 2024	1300000	1300000.00 	1300000.00 	1300000.00 	0	0	0	FIXED	FIXED_NOSTRING	Obnova mokřadních ekosstémů - Křišťanovický rybník	Obnova mokřadních ekosstémů - Křišťanovický rybník	Obnova mokřadních ekosstémů - Křišťanovický rybník
00250864-00020729-20200626-20301231-1732847		2022 + 2023 + 2024	1732847	1732847.00 	1732847.00 	1732847.00 	0,45	0	0	VARIABLE	FIXED_NOSTRING	zateplení a zdroj ZŠ Zbytiny	zateplení a zdroj v ZŠ Zbytiny	zateplení a zdroj v ZŠ Zbytiny
00250864-00020729-20200626-20301231-178886		2022 + 2023 + 2024	178886	178886.00 	178886.00 	178886.00 	0,45	0	0	VARIABLE	FIXED_NOSTRING	pořízení vzduchotechniky ZŠ Zbytiny	pořízení decentrální vzduchotechniky do ZŠ Zbytiny	pořízení decentrální vzduchotechniky do ZŠ Zbytiny
00250864-44848943-20140903-20240903-2000000		2022 + 2023 + 2024	2000000	1881465.00 	1881465.00 	1881465.00 	0,74	0	0	VARIABLE	FIXED_NOSTRING	"posílení vodních zdrojů ""Vodovod Blažejovice"""	posílení vodních zdrojů - vodovod Blažejovice - 1. etapa	posílení vodních zdrojů - vodovod Blažejovice - 1. etapa
00250864-45244782-20130311-20330228-2500000		2022 + 2023 + 2024	2500000	2500000.00 	2500000.00 	2500000.00 	2,3	0	0	VARIABLE	FIXED_NOSTRING	rekonstrukce bytového domu Zbytiny 12	rekonstrukce bytového domu Zbytiny 12	rekonstrukce bytového domu Zbytiny 12
00250864-45317054-20080415-20230331-5000000		2022 + 2023	5000000	5000000.00 	5000000.00 		0	0		FIXED	FIXED_NOSTRING	"dofinancování ""Kanalizace a ČOV Zbytiny"""	"dofinancování ""Kanalizace a ČOV Zbytiny"""	
00250864-45317054-20190124-20231031-1600000		2022 + 2023	1600000	1600000.00 	1600000.00 		0	0		FIXED	FIXED_NOSTRING	"posílení vodních zdrojů ""Vodojem Zbytiny"""	posílení vodních zdrojů - vodojem Zbytiny	
00250864-45317054-20200326-20240430-4151943		2024	4151943			4151943.00 			0	FIXED	FIXED_NOSTRING			zateplení, pořízení zdroje tepla a vzduchotechniky do ZŠ Zbytiny
00250864-45317054-20200326-20250531-4151943		2022 + 2023	4151943	4151943.00 	4151943.00 		0	0		FIXED	FIXED_NOSTRING	"zateplení ""ZŠ Zbytiny"""	zateplení, pořízení zdroje tepla a vzduchotechniky do ZŠ Zbytiny	
00250864-45317054-20241007-20390930-10000000		2024	10000000			2430000.00 			0	FIXED	FIXED_NOSTRING			koupě stavby občanského vybavení č.p. 1 (projekt 1) a Blažejovice ČOV a kanalizace (projekt 2)
00250872-00020729-20140923-20251231-3231067		2022 + 2023 + 2024	3231067	3225056.51 	3225056.51 	3225056.51 	1%	1%	1%	FIXED	FIXED_NOSTRING	Kanalizace a ČOV Zdíkov	Kanalizace ca ČOV Zdíkov	Kanalizace a ČOV Zdíkov
00250872-45244782-20140612-20250930-10000000		2022 + 2023 + 2024	10000000	10000000.00 	10000000.00 	10000000.00 	1M PRIBOR+marže 0,49%	1 M PRIBOR	1 M PRIB	VARIABLE	VARIABLE_STRING	Kanalizace a ČOV Zdíkov	Kanalizace a ČOV Zdíkov	Kanalizace a ČOV Zdíkov
00250872-45244782-20151026-20260930-8000000		2022 + 2023 + 2024	8000000	7389493.00 	7389493.00 	7389493.00 	1M PRIBOR+0,35% marže	1 M PRIBOR	1 M PRIB	VARIABLE	VARIABLE_STRING	Bytový dům pro seniory	Bytový dům pro seniory	Bytový dům pro seniory
00250945-45317054-20200930-20300930-14000000		2022 + 2023 + 2024	14000000	11994370.98 	11994370.98 	11994370.98 	0,94	0,94	0,94	FIXED	FIXED_NOSTRING	Financování výdajů spojených se Zřízením kanalizace, vodovodní přípojky a plynovodu  a VO	"Financování výdajů spojených se ""Zřízením kanalizace, vodovodní přípojky a plynovodu s následnou ..."	"Financování výdajů spojených se ""Zřízením kanalizace, vodovodní přípojky a plynovodu s následnou ..."
