ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00075370-000000LU-20091207-20300315-350000000		2022 + 2023 + 2024	350000000	350000000.00 	350000000.00 	350000000.00 	3.067	3.067	3.067	FIXED	FIXED_NOSTRING	investice	investice	investice
00075370-000000LU-20091207-20310915-300000000		2022 + 2023 + 2024	300000000	300000000.00 	300000000.00 	300000000.00 	0.589	0.589	0.589	FIXED	FIXED_NOSTRING	investice	investice	investice
00075370-000000LU-20091207-20320915-600000000		2023 + 2024	600000000		600000000.00 	600000000.00 		3.101	3.101	FIXED	FIXED_NOSTRING		investice	investice
00075370-000000LU-20091207-20331216-350000000		2022 + 2023 + 2024	350000000	350000000.00 	350000000.00 	350000000.00 	2.871	2.871	2.871	FIXED	FIXED_NOSTRING	investice	investice	investice
00075370-000000LU-20140619-20390115-325000000		2022 + 2023 + 2024	325000000	325000000.00 	325000000.00 	325000000.00 	1.536	1.536	1.536	FIXED	FIXED_NOSTRING	investice	investice	investice
00075370-45317054-20210520-20410630-325000000		2022 + 2023 + 2024	325000000	325000000.00 	325000000.00 	325000000.00 	1.65	1.65	1.65	FIXED	FIXED_NOSTRING	investice	investice	investice
00081531-0000004C-20051111-20301215-1000000000		2023 + 2024	1000000000		1000000000.00 	1000000000.00 		PSVR stanovovaná bankou	3M PRIBOR+ 0,13% p.a.	VARIABLE	VARIABLE_STRING		splnění plánu financování multisektorového invest.programu na r.2004-2010	splnění plánu financování multisektorového invest.programu na r.2004-2010
00081531-0000004C-20051111-20321217-1000000000		2022	1000000000	1000000000.00 			PSVR stanovovaná bankou			FIXED	VARIABLE_STRING	splnění plánu financování multisektorového invest.programu na r.2004-2010		
00081531-45244782-20230612-20321231-300000000		2023 + 2024	300000000		104060.00 	170252068.98 		1M PRIBOR -0,04% p.a.	1M PRIBOR -0,04% p.a.	FIXED	VARIABLE_STRING		financování investičních akcí	financování investičních akcí
00081531-45317054-20090427-20241231-1200000000		2022	1200000000	1200000000.00 			1M PRIBOR+1,8% p.a.			FIXED	VARIABLE_STRING	zajištění profinancování projektů města		
00081531-45317054-20090427-20250131-1200000000		2023 + 2024	1200000000		1200000000.00 	1200000000.00 		1M PRIBOR+1,8% p.a.	1M PRIBOR+1,8% p.a.	FIXED	VARIABLE_STRING		zajištění profinancování projektů města	zajištění profinancování projektů města
00081531-70856788-20220429-20430131-14891795		2022 + 2023 + 2024	14891795	5679872.50 	11326887.43 	11326887.43 	3,50% p.a.	3,50% p.a.	3,50% p.a.	FIXED	FIXED_NOSTRING	pořízení dostupných bytů ve smíšeném bytovém domě Čelakovského formou staveb.úprav	pořízení dostupných bytů ve smíšeném bytovém domě Čelakovského formou staveb.úprav	pořízení dostupných bytů ve smíšeném bytovém domě Čelakovského formou staveb.úprav
00084409-13584324-20020312-20230701-8900000		2022 + 2023	8900000	8551106.94 	8900000.00 		4,39	4,39		FIXED	FIXED_NOSTRING	Výstavba nemovitostí	Výstavba nemovitostí	
00179671-45244782-20110912-20260820-2550000		2022 + 2023 + 2024	2550000	2525436.00 	2525436.00 	2525436.00 	1,97	1,97	0	VARIABLE	FIXED_NOSTRING	Rekonstrukce obecní budovy - výstavba 3 obecních bytů + ZTV pro 5 RD (vodovod, kanalizace)	Rekonstrukce obecní budovy - výstavba 3 obecních bytů + ZTV pro 5 RD (vodovod, kanalizace)	Rekonstrukce obecní budovy - výstavba 3 obecních bytů + ZTV pro 5 RD (vodovod, kanalizace)
00179779-45317054-20230426-20391231-11000000		2024	11000000			11000000.00 			4,71	FIXED	FIXED_NOSTRING			Kanalizace ČOV
00179779-45317054-20230614-20391231-11000000		2023	11000000		10477369.97 			4,71		FIXED	FIXED_NOSTRING		Kanalizace a ČOV	
00190900-45317054-20160715-20310920-6000000		2022 + 2023 + 2024	6000000	6000000.00 	6000000.00 	6000000.00 	0,05	0,05	0,05	FIXED	FIXED_NOSTRING	Nezbytné investice v období 2016-2019	Nezbytné investice v období 2016-2019	Nezbytné investice v období 2016-2019
00194549-45244782-20200302-20351231-3500000		2022 + 2023	3500000	3057350.73 	3057350.73 		3,5	3,5		FIXED	FIXED_NOSTRING	Stavba DČOV	Stavba DČOV	
00194557-45244782-20101005-20220831-850000		2022	850000	839196.60 			5			FIXED	FIXED_NOSTRING	výstavba vodovodu		
00194646-63998980-20220921-20230121-863093		2022	863093	863093.00 			8,3961			FIXED	FIXED_NOSTRING	Traktor Zetor MAJOR		
00194646-63998980-20220921-20270921-863093		2023	863093		863093.00 			8,3961		FIXED	FIXED_NOSTRING		Traktor Zetor MAJOR	
00207438-45317054-20220830-20231231-7000000		2022 + 2023	7000000	1775240.00 	1775240.00 		7,42	7,42		FIXED	FIXED_NOSTRING	investiční	investiční	
00225606-45317054-20190630-20240813-3000000		2024	3000000			3000000.00 			7,88	FIXED	FIXED_NOSTRING			Úprava návsi a místní komunikace k Trati
00225606-45317054-20190630-20280331-3000000		2022 + 2023	3000000	3000000.00 	3000000.00 		1,10	7,88		VARIABLE	FIXED_NOSTRING	Úprava návsi a místní komunikace k Trati	Úprava návsi a místní komunikace k Trati	
00225606-45317054-20210131-20240813-500000		2024	500000			500000.00 			8,14	FIXED	FIXED_NOSTRING			oprava fasády a bezbariérového přístupu na obecní úřad, oprava kapličky
00225606-45317054-20210131-20280331-500000		2022 + 2023	500000	500000.00 	500000.00 		1,34	8,14		VARIABLE	FIXED_NOSTRING	oprava fasády a bezbariérového přístupu na obecní úřad, oprava kapličky	oprava fasády a bezbariérového přístupu na obecní úřad, oprava kapličky	
00225606-45317054-20240802-20341231-5100000		2024	5100000			5100000.00 			5,32	FIXED	FIXED_NOSTRING			Refinancování úvěrů a navýšení - vybudování infrastruktury pro 6RD u vodojemu
00225606-45671745-20151214-20221231-1333000		2022	1333000	1333000.00 			0			FIXED	FIXED_NOSTRING	Odkanalizování obcí - II. etapa		
00226203-00001350-20231006-20380820-7000000		2023 + 2024	7000000		7000000.00 	7000000.00 		4,55 % p.a.	4,55 % p.a.	FIXED	FIXED_NOSTRING		Koupě nemovitosti	Koupě nemovitosti
00226220-49241397-20100223-20270228-6058286		2022 + 2023 + 2024	6058286	6058286.69 	6058286.69 	6058286.69 	1,9	1,9	1,9	FIXED	FIXED_NOSTRING	Dostavba zámku Návojná - polyfunkční dům	Dostavba zámku Návojná - polyfunkční dům	Dostavba zámku Návojná - polyfunkční dům
00226220-49241494-20210714-20220920-725050		2022	725050	725050.00 			2,7			FIXED	FIXED_NOSTRING	pořízení lesnické techniky		
00226220-49241494-20230816-20240620-822000		2023	822000		822000.00 			7,48		FIXED	FIXED_NOSTRING		Pořízení lesnické techniky	
00228702-00001350-20231102-20380920-5000000		2023 + 2024	5000000		4665959.50 	4665959.50 		pohyblivá	0	VARIABLE	VARIABLE_STRING		Rekonstrukce a přístavba MŠ Čepřovice	Rekonstrukce a přístavba MŠ Čepřovice
00228702-45317054-20191030-20390930-9840000		2022 + 2023 + 2024	9840000	9840000.00 	9840000.00 	9840000.00 	pohyblivá	pohyblivá	0	VARIABLE	VARIABLE_STRING	Modernizace KD Čepřovice	Modernizace KD Čepřovice	Modernizace KD Čepřovice
00228711-45244782-20200619-20220430-15000000		2022	15000000	11560010.61 			0,49			FIXED	FIXED_NOSTRING	Sociální bydlení, polytechnické dílny ZŠ		
00228711-45244782-20200619-20300530-27000000		2022 + 2023 + 2024	27000000	26935889.17 	26935889.17 	26935889.17 	0,94	0,94	0,94	FIXED	FIXED_NOSTRING	Kanalizace, septiky, minirýpadlo, biologické dočišťovací rybníky	Kanalizace, septiky, minirýpadlo, biologické dočišťovací rybníky	Kanalizace, septiky, minirýpadlo, biologické dočišťovací rybníky
00231401-45317054-20180207-20321231-250000000		2022 + 2023 + 2024	250000000	42510051.08 	42510051.08 	42510051.08 	3M PRIBOR+0,02% p.a.	3M PRIBOR+0,02% p.a.	3M PRIBOR+0,02% p.a.	FIXED	VARIABLE_STRING	výstavba terminálu a parkovacího domu	výstavba terminálu a parkovacího domu	výstavba terminálu a parkovacího domu
00231525-45244782-20170510-20220422-15000000		2022	15000000	15000000.00 			0,4			FIXED	FIXED_NOSTRING	Rekonstrukce městské kotelny		
00231525-45244782-20230317-20321220-30000000		2023 + 2024	30000000		30000000.00 	30000000.00 		4,48	4,48	FIXED	FIXED_NOSTRING		Vodovod Bystřice	Vodovod Bystřice
00231525-70856788-20230327-20330131-22609000		2023 + 2024	22609000		13198231.19 	22609000.00 		bezúročně	bezúročně	FIXED	VARIABLE_STRING		Komunitní centrum Bystřice	Komunitní centrum Bystřice
00231541-45244782-20191031-20381220-9500000		2022 + 2023 + 2024	9500000	9500000.00 	9500000.00 	9500000.00 	1,84	1,84	1,84	FIXED	FIXED_NOSTRING	Zapojení do vybudování skupinového vodovodu CHOPOS	Zapojení do vybudování skupinového vodovodu CHOPOS	Zapojení do vybudování skupinového vodovodu CHOPOS
00231550-49241494-20210603-20230113-609700		2022	609700	304850.00 			2,7			FIXED	FIXED_NOSTRING	Nový vyvážecí vlek PALMS, nová hydraul. ruka PALMS		
00231771-45224782-20230215-20301220-6000000		2023 + 2024	6000000		4791538.32 	4791538.32 		5,79	5,79	FIXED	FIXED_NOSTRING		intenzifikace čov	intenzifikace čov
00231771-45317054-20080826-20221230-6232000		2022	6232000	6232000.00 			pohyblivá			FIXED	VARIABLE_STRING	na stavbu čov		
00231819-45244782-20200520-20261220-1000000		2022 + 2023 + 2024	1000000	1000000.00 	1000000.00 	1000000.00 	1,54	1,54	1,54	FIXED	FIXED_NOSTRING	Intezifikace ČOV	Intezifikace ČOV	Intezifikace ČOV
00231860-00020729-20120517-20231231-3473683		2022 + 2023	3473683	3473683.44 	3473683.44 		0	0		FIXED	FIXED_NOSTRING	ČOV	ČOV	
00231860-45317054-20241114-20291030-10000000		2024	10000000			10000000.00 			3,9%	FIXED	FIXED_NOSTRING			koupě nemovitosti
00231860-70891095-20240603-20250527-4000000		2024	4000000			4000000.00 			0	FIXED	FIXED_NOSTRING			ZŠ a MŠ Chocerady - Snížení energetické náročnosti gastro provozu
00231886-45244782-20170210-20250320-6000000		2022 + 2023 + 2024	6000000	6000000.00 	6000000.00 	6000000.00 	0,52	0,52	0,52	FIXED	FIXED_NOSTRING	financování projektu přístavby školy	financování projektu	financování projektu
